user_id,age,gender,country,city,signup_date,membership_type,preferred_device,customer_segment,avg_previous_orders,lifetime_value
154907,19,Female,Canada,Vancouver,2025-01-03,Free,Desktop,Regular,12,1156.28
380679,22,Other,USA,Seattle,2023-12-17,Free,Mobile,Budget,11,1231.17
191421,22,Female,India,Mumbai,2023-03-29,Gold,Desktop,Budget,6,563.11
906309,21,Other,Canada,Toronto,2025-05-15,Free,Desktop,Regular,1,489.75
527023,36,Other,UAE,Abu Dhabi,2023-03-29,Platinum,Mobile,Budget,9,846.07
379501,59,Male,India,Mumbai,2024-06-04,Free,Mobile,VIP,4,736.12
212931,57,Female,Germany,Berlin,2025-02-28,Free,Desktop,Regular,3,318.72
979234,27,Other,India,Hyderabad,2025-03-03,Free,Mobile,Regular,10,1075.08
140007,52,Male,Canada,Toronto,2024-06-04,Free,Mobile,Regular,10,958.8
497540,28,Female,USA,New York,2024-11-08,Platinum,Mobile,Regular,8,988.9
662248,58,Other,India,Pune,2023-03-03,Free,Mobile,Regular,11,1243.27
689633,22,Other,UAE,Abu Dhabi,2023-03-04,Free,Mobile,Budget,11,1400.67
448334,38,Female,India,Pune,2023-02-22,Gold,Desktop,Budget,12,1045.68
457352,28,Female,India,Bengaluru,2023-11-28,Gold,Desktop,Budget,9,931.77
993477,35,Other,India,Hyderabad,2025-03-25,Free,Mobile,Regular,5,648.8
154422,18,Male,UAE,Abu Dhabi,2023-06-19,Gold,Mobile,Regular,4,235.16
267418,40,Other,India,Mumbai,2024-10-06,Free,Mobile,Regular,10,1259.98
241618,55,Male,Canada,Toronto,2023-10-24,Free,Tablet,Premium,10,864.4
453597,30,Male,Australia,Melbourne,2025-04-01,Silver,Mobile,Regular,3,327.06
688211,18,Male,Germany,Berlin,2024-01-10,Free,Mobile,Regular,8,1006.75
450010,59,Female,Germany,Munich,2025-01-25,Platinum,Mobile,Budget,13,1600.0
835775,47,Female,India,Delhi,2024-02-26,Platinum,Desktop,Budget,11,1363.02
357072,24,Female,Canada,Toronto,2023-02-01,Free,Mobile,Budget,4,348.89
271732,48,Female,India,Bengaluru,2024-10-18,Platinum,Desktop,Budget,9,1092.78
101751,50,Female,India,Pune,2023-05-17,Gold,Mobile,Premium,6,574.19
557468,52,Female,India,Bengaluru,2023-12-15,Platinum,Desktop,Premium,6,790.26
911165,37,Female,Singapore,Singapore,2024-03-31,Free,Mobile,Budget,7,1136.82
191869,38,Other,India,Mumbai,2023-01-30,Free,Desktop,Premium,3,495.62
726628,51,Other,India,Hyderabad,2023-01-13,Free,Mobile,Premium,7,704.84
495936,51,Male,Canada,Vancouver,2023-06-08,Free,Desktop,Regular,6,574.26
173271,41,Female,India,Delhi,2024-05-10,Free,Mobile,Regular,9,973.6
106915,30,Male,India,Bengaluru,2025-04-27,Gold,Mobile,Budget,6,690.01
430782,36,Male,UAE,Dubai,2024-06-25,Free,Mobile,Regular,9,802.09
867598,60,Male,Australia,Sydney,2024-06-10,Silver,Desktop,Budget,11,1300.89
570099,57,Other,India,Mumbai,2025-01-10,Gold,Tablet,Premium,25,2523.33
206993,46,Male,USA,New York,2023-08-24,Platinum,Desktop,Regular,0,114.06
146019,63,Other,India,Mumbai,2023-02-08,Free,Mobile,Regular,1,169.61
197270,34,Other,Germany,Munich,2023-01-19,Free,Desktop,Budget,2,190.93
799545,50,Male,India,Pune,2025-03-14,Free,Mobile,VIP,6,437.3
249081,57,Other,India,Hyderabad,2023-06-07,Free,Desktop,Regular,9,977.81
